# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
0.06085      	2.836261e-02
0.0609       	2.836261e-02
0.06095      	2.836261e-02
0.061        	2.836262e-02
0.06105      	2.836261e-02
0.0611       	2.836261e-02
0.06115      	2.836261e-02
0.0612       	2.836261e-02
0.06125      	2.836263e-02
0.0613       	2.836261e-02
0.06135      	2.836261e-02
0.0614       	2.836262e-02
0.06145      	2.836261e-02
0.0615       	2.836260e-02
0.06155      	2.836260e-02
0.0616       	2.836260e-02
0.06165      	2.836260e-02
0.0617       	2.836261e-02
0.06175      	2.836260e-02
0.0618       	2.836262e-02
0.06185      	2.836260e-02
0.0619       	2.836259e-02
0.06195      	2.836260e-02
0.062        	2.836262e-02
0.06205      	2.836261e-02
0.0621       	2.836261e-02
0.06215      	2.836260e-02
0.0622       	2.836259e-02
0.06225      	2.836260e-02
0.0623       	2.836261e-02
0.06235      	2.836261e-02
0.0624       	2.836261e-02
0.06245      	2.836263e-02
0.0625       	2.836261e-02
0.06255      	2.836261e-02
0.0626       	2.836261e-02
0.06265      	2.836262e-02
0.0627       	2.836263e-02
0.06275      	2.836261e-02
0.0628       	2.836259e-02
0.06285      	2.836261e-02
0.0629       	2.836260e-02
0.06295      	2.836260e-02
0.063        	2.836261e-02
0.06305      	2.836261e-02
0.0631       	2.836260e-02
0.06315      	2.836260e-02
0.0632       	2.836261e-02
0.06325      	2.836261e-02
0.0633       	2.836262e-02
0.06335      	2.836262e-02
0.0634       	2.836262e-02
0.06345      	2.836263e-02
0.0635       	2.836262e-02
0.06355      	2.836263e-02
0.0636       	2.836263e-02
0.06365      	2.836263e-02
0.0637       	2.836263e-02
0.06375      	2.836263e-02
0.0638       	2.836263e-02
0.06385      	2.836264e-02
0.0639       	2.836266e-02
0.06395      	2.836265e-02
0.064        	2.836264e-02
0.06405      	2.836265e-02
0.0641       	2.836266e-02
0.06415      	2.836266e-02
0.0642       	2.836265e-02
0.06425      	2.836265e-02
0.0643       	2.836264e-02
0.06435      	2.836262e-02
0.0644       	2.836262e-02
0.06445      	2.836262e-02
0.0645       	2.836261e-02
0.06455      	2.836263e-02
0.0646       	2.836263e-02
0.06465      	2.836264e-02
0.0647       	2.836263e-02
0.06475      	2.836261e-02
0.0648       	2.836263e-02
0.06485      	2.836263e-02
0.0649       	2.836264e-02
0.06495      	2.836264e-02
0.065        	2.836263e-02
0.06505      	2.836263e-02
0.0651       	2.836262e-02
0.06515      	2.836261e-02
0.0652       	2.836262e-02
0.06525      	2.836262e-02
0.0653       	2.836262e-02
0.06535      	2.836264e-02
0.0654       	2.836263e-02
0.06545      	2.836262e-02
0.0655       	2.836261e-02
0.06555      	2.836262e-02
0.0656       	2.836262e-02
0.06565      	2.836262e-02
0.0657       	2.836263e-02
0.06575      	2.836263e-02
0.0658       	2.836263e-02
0.06585      	2.836262e-02
0.0659       	2.836264e-02
0.06595      	2.836263e-02
0.066        	2.836264e-02
0.06605      	2.836265e-02
0.0661       	2.836262e-02
0.06615      	2.836263e-02
0.0662       	2.836263e-02
0.06625      	2.836264e-02
0.0663       	2.836262e-02
0.06635      	2.836262e-02
0.0664       	2.836262e-02
0.06645      	2.836263e-02
0.0665       	2.836262e-02
0.06655      	2.836261e-02
0.0666       	2.836261e-02
0.06665      	2.836260e-02
0.0667       	2.836260e-02
0.06675      	2.836259e-02
0.0668       	2.836260e-02
0.06685      	2.836260e-02
0.0669       	2.836260e-02
0.06695      	2.836259e-02
0.067        	2.836258e-02
0.06705      	2.836257e-02
0.0671       	2.836259e-02
0.06715      	2.836259e-02
0.0672       	2.836259e-02
0.06725      	2.836258e-02
0.0673       	2.836260e-02
0.06735      	2.836260e-02
0.0674       	2.836260e-02
0.06745      	2.836259e-02
0.0675       	2.836260e-02
0.06755      	2.836260e-02
0.0676       	2.836259e-02
0.06765      	2.836260e-02
0.0677       	2.836260e-02
0.06775      	2.836259e-02
0.0678       	2.836258e-02
0.06785      	2.836259e-02
0.0679       	2.836259e-02
0.06795      	2.836257e-02
0.068        	2.836258e-02
0.06805      	2.836258e-02
0.0681       	2.836258e-02
0.06815      	2.836259e-02
0.0682       	2.836258e-02
0.06825      	2.836259e-02
0.0683       	2.836259e-02
0.06835      	2.836258e-02
0.0684       	2.836259e-02
0.06845      	2.836259e-02
0.0685       	2.836258e-02
0.06855      	2.836258e-02
0.0686       	2.836259e-02
0.06865      	2.836257e-02
0.0687       	2.836257e-02
0.06875      	2.836256e-02
0.0688       	2.836256e-02
0.06885      	2.836257e-02
0.0689       	2.836255e-02
0.06895      	2.836254e-02
0.069        	2.836252e-02
0.06905      	2.836254e-02
0.0691       	2.836254e-02
0.06915      	2.836255e-02
0.0692       	2.836256e-02
0.06925      	2.836256e-02
0.0693       	2.836257e-02
0.06935      	2.836257e-02
0.0694       	2.836258e-02
0.06945      	2.836258e-02
0.0695       	2.836259e-02
0.06955      	2.836259e-02
0.0696       	2.836260e-02
0.06965      	2.836260e-02
0.0697       	2.836261e-02
0.06975      	2.836260e-02
0.0698       	2.836261e-02
0.06985      	2.836261e-02
0.0699       	2.836262e-02
0.06995      	2.836261e-02
0.07         	2.836262e-02
0.07005      	2.836262e-02
0.0701       	2.836261e-02
0.07015      	2.836262e-02
0.0702       	2.836262e-02
0.07025      	2.836261e-02
0.0703       	2.836262e-02
0.07035      	2.836260e-02
0.0704       	2.836262e-02
0.07045      	2.836261e-02
0.0705       	2.836262e-02
0.07055      	2.836261e-02
0.0706       	2.836262e-02
0.07065      	2.836262e-02
0.0707       	2.836260e-02
0.07075      	2.836261e-02
0.0708       	2.836259e-02
0.07085      	2.836261e-02
0.0709       	2.836263e-02
0.07095      	2.836263e-02
0.071        	2.836261e-02
0.07105      	2.836261e-02
0.0711       	2.836261e-02
0.07115      	2.836261e-02
0.0712       	2.836261e-02
0.07125      	2.836261e-02
0.0713       	2.836260e-02
0.07135      	2.836261e-02
0.0714       	2.836261e-02
0.07145      	2.836261e-02
0.0715       	2.836260e-02
0.07155      	2.836261e-02
0.0716       	2.836261e-02
0.07165      	2.836261e-02
0.0717       	2.836260e-02
0.07175      	2.836261e-02
0.0718       	2.836259e-02
0.07185      	2.836261e-02
0.0719       	2.836260e-02
0.07195      	2.836261e-02
0.072        	2.836259e-02
0.07205      	2.836260e-02
0.0721       	2.836259e-02
0.07215      	2.836261e-02
0.0722       	2.836260e-02
0.07225      	2.836261e-02
0.0723       	2.836260e-02
0.07235      	2.836261e-02
0.0724       	2.836262e-02
0.07245      	2.836262e-02
0.0725       	2.836262e-02
0.07255      	2.836262e-02
0.0726       	2.836261e-02
0.07265      	2.836262e-02
